dat,artist,musicbrainz_url,title,album,label,year,country
2014.11.06,OOIOO,http://musicbrainz.org/artist/8ee72e86-d75b-4e18-9116-41a10ff92703,Atatawa,Gamel,Shock City,2013,Japan
2014.11.06,Miii,http://musicbrainz.org/artist/dd68ea57-7fb7-4a23-9593-a6ae83aa8bae,Everything Happens to You,Everything Happens to You,Maltine Records,2013,Japan) {[download the EP](http://maltinerecords.cs8.biz/128.html
2014.11.06,Seiho,http://musicbrainz.org/artist/381f7091-1a6c-446b-8421-10d58e481b9c,Plastic,?,?,not yet released,Japan) {listen on [Soundcloud](https://soundcloud.com/seiho/seihoplastic
irregular: needs manual input
irregular: needs manual input
2014.11.20,Four Tet,http://musicbrainz.org/artist/3bcff06f-675a-451f-9075-99e8657047e8,23,Pause,Domino,2001,England
2014.11.20,Caribou,http://musicbrainz.org/artist/735e3514-a8ae-401f-af3b-6300df1b8d2c,Silver,Our Love,City Slang,2014,Canada
2014.11.20,Thom Yorke,http://musicbrainz.org/artist/8ed2e0b3-aa4c-4e13-bec3-dc7393ed4d6b,The Mother Lode,Tomorrow's Modern Boxes,no label,2014,England
2014.11.20,Laurel Halo,http://musicbrainz.org/artist/cb5704af-3ef1-485f-bb7f-e43cf40170a7,Thaw,Quarantine,Hyperdub,2012,USA
2014.11.20,King Felix,http://musicbrainz.org/artist/05faa278-fbc2-46dd-bad4-0815432ea394,SPRING03,Spring EP,Liberation Technologies,2012,USA
irregular: needs manual input
2014.11.20,Air,http://musicbrainz.org/artist/cb67438a-7f50-4f2b-a6f1-2bb2729fd538,Mike Mills,Talkie Walkie,Source,2004,France
2014.11.20,Nocto,,Wider,+ Adam,no label,2014,France) {[Buy on Bandcamp](https://nocto.bandcamp.com/album/adam
2014.11.20,Los Mirlos,http://musicbrainz.org/artist/967775fc-8997-47ed-8c2e-55a0eb59bfae,Chinito en Onda,?,no label,2013,Peru) {[Download on Soundcloud](https://soundcloud.com/dengue/los-mirlos-chinito-en-onda
2014.12.04,0,http://musicbrainz.org/artist/33c6bade-7a43-42c3-b9f0-cbc602e3340d,Fireplacehouse,Mushrooms Says,Southern City‘s Lab,2014,Ukraine
2014.12.04,0,http://musicbrainz.org/artist/cf816800-4e0e-4d80-9cca-50a725e93787,Toulouse,"The Essence, Part 1",Birdology / Polydor,1995,USA
2014.12.04,0,http://musicbrainz.org/artist/8c9b336e-acc8-4e20-9195-6ed0634da9fc,The Walrus Hunt,Eskimo,"Euro Ralph, 1996 (originally Ralph Records",1979),USA
2014.12.04,1,http://musicbrainz.org/artist/4a3a5fc0-af4b-4990-957b-8d94f7bfe706,Break Well,Cold Spring Fault Less Youth,Warp Records,2013,England
2014.12.04,1,http://musicbrainz.org/artist/d1c6dcaa-751f-41e7-8dc5-7db2b30a1867,Hillside,Sworn,Level Records,2008,Sweden
2014.12.04,1,http://musicbrainz.org/artist/735e3514-a8ae-401f-af3b-6300df1b8d2c,Your Love Will Set You Free,Our Love,City Slang,2014,Canada
2014.12.04,2,http://musicbrainz.org/artist/8c238275-9625-4f37-ac15-9e02a6dc8888,Dusk,Autumn Bells,Atomnation,2014,Sweden) {[Buy the album](https://atomnation.bandcamp.com/album/autumn-bells
2014.12.04,2,http://musicbrainz.org/artist/856475ed-b4ad-4de3-b23b-34ca3833549a,Suki Sa Suki Sa Suki Sa,"Nippon Girls: Japanese Pop, Beat & Bossa Nova 1966-1970",Big Beat,2009,Japan
irregular: needs manual input
irregular: needs manual input
2014.12.04,3,http://musicbrainz.org/artist/0d4bc6e5-2a3e-4fdf-8bbf-59ad0bc374d7,Trans Fatty Acid,Lamb,Fontana,1997,England
2014.12.04,4,http://musicbrainz.org/artist/96b718ee-3909-4955-94d8-c35dfc5b950c,Dogma,Flatland,Pan,2014,Germany
irregular: needs manual input
2014.12.04,5,http://musicbrainz.org/artist/33c6bade-7a43-42c3-b9f0-cbc602e3340d,Trojan,Mushrooms Says,Southern City‘s Lab,2014,Ukraine
2014.12.04,5,http://musicbrainz.org/artist/fc7376fe-1a6f-4414-b4a7-83f50ed59c92,Hunger,Until the Quiet Comes,Warp Records,2012,USA
2014.12.04,5,http://musicbrainz.org/artist/735e3514-a8ae-401f-af3b-6300df1b8d2c,Hummingbird,Tour CD 2007,City Slang,2007,Canada
irregular: needs manual input
2014.11.20,Loscil,http://musicbrainz.org/artist/4f2c565b-ac40-4678-ba61-4fcf3b97edbc,Estuarine,Endless Falls,Kranky,2010,Canada
2014.11.20,Oval,http://musicbrainz.org/artist/2fa478b1-dee0-428c-8e18-8b0b6608b2dd,Textuell,Systemisch,Mille Plateaux,1994,Germany
irregular: needs manual input
2014.11.20,Locust Toybox,http://musicbrainz.org/release/fc8d59a5-1107-41be-917d-b7c78cd526f7,The Red Spider,Scribble Beats,no label,2005,England
2014.11.20,Secret Chiefs 3,http://musicbrainz.org/artist/45ec9b41-eeea-42da-8337-28c67a8d2934,Sheburiel,"Xaphan: Book of Angels, Volume 9",Tzadik,2008,USA
2014.11.20,Sarah Vaughn,,Summertime,Verve//Remixed,Verve,2002,UK
irregular: needs manual input
2014.11.20,Terje Rypdal,http://musicbrainz.org/artist/6a5e6105-b1c4-4c5c-97ae-5ee4b7f746b4,Sunrise,Terje Rypdal & Miroslav Vitous & Jack DeJohnette,ECM,2008 (rerelease; originally 1979),Germany
irregular: needs manual input
2015.01.08,Philip Glass,http://musicbrainz.org/artist/5ae54dee-4dba-49c0-802a-a3b3b3adfe9b,Heroes,26 Mixes for Cash,Warp,2003,USA & Ireland) – original song by [David Bowie](http://musicbrainz.org/artist/5441c29d-3602-4898-b1a1-b77fa23b8e50) and [Brian Eno](http://musicbrainz.org/artist/ff95eb47-41c4-4f7f-a104-cdc30f02e872
2015.01.08,Usher,http://musicbrainz.org/artist/3414d446-735a-443c-931f-10634f57e5b9,Yeah,?,?,2014,USA & USA) – get it on [Soundcloud](https://soundcloud.com/sacreddata/usher-yeah-clubfuck?in=sacreddata/sets/clubfucks
2015.01.08,Usher,http://musicbrainz.org/artist/3414d446-735a-443c-931f-10634f57e5b9,Climax,?,?,2014,USA & USA) – get it on [Soundcloud](https://soundcloud.com/sacreddata/usher-climax-cpu-god-clubfuck
2015.01.08,Neil Cosgrov,,gWich,?,?,2014,England) – get it on [Soundcloud](https://soundcloud.com/neil_cosgrove/gwich
irregular: needs manual input
irregular: needs manual input
2015.01.08,Claudius Maximu,,Gravity,?,?,2004,?) – get it on the [Pure Data website](http://puredata.info/Members/claudiusmaximus/copyme/gravity/sounds/gravity-20040612-demo.ogg/view
2015.01.08,Frank Barknecht,http://musicbrainz.org/artist/df311e54-70c9-4489-9014-d3679bf03860,variation,?,?,2003,?) – get it on the [Pure Data website](http://puredata.info/Members/fbar/snd/variation.ogg/view
2015.01.08,Alea ,http://musicbrainz.org/artist/7ee7252f-27f0-4e48-bf5b-8ed61a7521f3,take 1,hot01-00-09,al revés,2010,Brazil) – get the album on [al revés](http://alreves.org/releases.php?lang=en&release=alr18
2015.01.15,0,http://musicbrainz.org/artist/fd09d776-ddfd-4558-afe7-814420d704ed,Studie I,Elektronische Musik,Stockhausen-Verlag,1992 (originally 1953),Germany
2015.01.15,1,http://musicbrainz.org/artist/78a4950e-9421-4a0a-9524-bd4efbe0047f,Good Graces,Anchor,Temporary Residence Limited,2014,USA
2015.01.15,1,http://musicbrainz.org/artist/8ed2e0b3-aa4c-4e13-bec3-dc7393ed4d6b,The Mother Lode,Tomorrow's Modern Boxes,Landgrab,2014,England
2015.01.15,1,http://musicbrainz.org/artist/3bcff06f-675a-451f-9075-99e8657047e8,Parallel Jalebi,LuckyMe Advent Calendar 2014,LuckyMe,2014,England & Scotland
2015.01.15,2,http://musicbrainz.org/artist/87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Thunderbolt,Bastards,One Little Indian Records,2012,Iceland & USA
irregular: needs manual input
irregular: needs manual input
2015.01.15,4,http://musicbrainz.org/artist/b3a7c641-279b-442f-a70a-eec1d65a7382,Voyager Program,Does It See Into Me?,self-released,2014,Germany
irregular: needs manual input
2015.01.15,4,http://musicbrainz.org/artist/99daf93f-86d3-4060-877a-c808a370f279,The Sentinel of Point Pleasant,Reminiscent of Factories,HAZE Netlabel,2013,USA
irregular: needs manual input
2015.01.15,5,http://musicbrainz.org/artist/d6d87219-24e7-4e72-b42a-a72cb82754b4,The Elevator,Machinarium Soundtrack,Amanita Design,2009,Czech Republic
2015.01.22,Aleksi Virta,http://musicbrainz.org/artist/b2d5b4a5-8778-4ae8-ab88-76d9e6b987c5,Nebulae Herb,...Meets Torsti at the Space Lounge,Monotonik,2004,Finland) – get [the release](https://archive.org/details/mtk123
2015.01.22,Thug,http://musicbrainz.org/artist/927a29b5-1ef1-48f8-9c2b-cec25946b9af,Sudafed x2,Sudafed x2,Monotonik,2000,Australia) – get [the release](https://archive.org/details/mtk020
2015.01.22,Dead Eros,http://musicbrainz.org/artist/c6974187-1afa-4057-b737-72f167639bef,Inside Sunshine,Bone Mountain,Monotonik,2009,USA) – get [the release](https://archive.org/details/mtk218
2015.01.22,Mike Kidd,http://musicbrainz.org/artist/7c31c917-66b0-495d-ba74-3a02b315ff9e,Bilocation,Impermanence EP,Monotonik,2009,Australia) – get [the release](https://archive.org/details/mtk219
2015.01.22,Mike Kidd,http://musicbrainz.org/artist/7c31c917-66b0-495d-ba74-3a02b315ff9e,Haunted Raves,Impermanence EP,Monotonik,2009,Australia
2015.01.22,Charles Céleste Hutchins,http://musicbrainz.org/artist/bb5044f5-0ef8-4afb-befa-123c21462c1a,Bubbles,Shorts,not on label,2014,USA/England) – You can commission a song or download free ones on [his website](http://www.berkeleynoise.com/celesteh/podcast/
2015.01.22,Charles Céleste Hutchins,http://musicbrainz.org/artist/bb5044f5-0ef8-4afb-befa-123c21462c1a,Analog Variations,?,not on label,2010,USA/England
2015.01.22,Lucrecia Dalt,http://musicbrainz.org/artist/245f7a1a-b799-40f1-a11a-6b379dbe0fa1,Glosolalia,Syzygy,Human Ear Music,2013,Columbia/Spain/Germany
2015.01.22,Juana Molina,http://musicbrainz.org/artist/eca5dd0e-edc7-4658-85f0-762e263b4acd,Las Edades,Wed 21,Crammed Discs,2013,Argentina
2015.01.29,Aphex Twin,http://musicbrainz.org/artist/f22942a1-6f70-4f48-866e-238cb2308fbd,Produk 29,Syro,Warp,2014,Ireland
2015.01.29,Edgar Froese,http://musicbrainz.org/artist/610a62e8-541b-42e4-a3fe-8dd595be93a8,Drunken Mozart,Beyond the Storm,Virgin,1995,Germany
2015.01.29,Tangerine Dream,http://musicbrainz.org/artist/23d8426c-18c7-46e6-a51d-7395bd43c641,Phaedra,Phaedra,Virgin,1974,Germany
2015.01.29,John Zorn,http://musicbrainz.org/artist/7ec4a553-73e5-4c0d-a071-a82b83a309e6,Moderato,Cobra,HatHut Records,1987,USA
irregular: needs manual input
2015.02.05,SOPHIE,http://musicbrainz.org/artist/774b02d7-5056-4b0f-9d69-a82b6ae27cde,Bipp,Bipp / Elle,Numbers.,2013,UK
2015.02.05,Hannah Diamond,http://musicbrainz.org/artist/76130c0b-b177-434f-893f-46c8d819548d,Pink  and Blue,Pink and Blue,PC Music,2013,England
2015.02.05,GFOTY,http://musicbrainz.org/artist/fd92821e-ef34-4c7a-bde1-b4458169f940,Bobby,Bobby,PC Music,2013,England
2015.02.05,Danny L Harle,http://musicbrainz.org/artist/1fd94d42-5e6a-46f2-84bf-9cc0be6c009f,Broken Flowers,Broken Flowers,PC Music,2013,England
2015.02.05,QT,http://musicbrainz.org/artist/60f8683c-29b3-41db-97a9-af77487913d9,Hey QT,Hey QT,XL Recordings,2014,UK
irregular: needs manual input
2015.02.05,Hannah Diamond,http://musicbrainz.org/artist/76130c0b-b177-434f-893f-46c8d819548d,Every Night,Every Night,PC Music,2014,England
irregular: needs manual input
2015.02.05,Spinee,http://musicbrainz.org/artist/03800c9b-cfa7-4f0c-b9c8-952dc04a56ca,Pretty Green,Pretty Green,PC Music,2014,England) – Listen and download on [Soundcloud](https://soundcloud.com/spinee777/sets/pc-s15
2015.02.05,SOPHIE,http://musicbrainz.org/artist/774b02d7-5056-4b0f-9d69-a82b6ae27cde,Hard,Lemonade / Hard,Numbers.,2014,UK
2015.02.19,The Necks,http://musicbrainz.org/artist/51f8d454-f4a8-41e6-8bd7-a35921eeedd0,Hanging Gardens,Hanging Gardens,Fish of Milk,1999,Australia
2015.02.19,Clocked Out Duo,http://musicbrainz.org/artist/d78b73b5-cd5e-46df-974a-3f5b9ce8a2bd,Foreign Objects,Foreign Objects,self-released,2010,Australia
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
2015.02.19,Pablo Pere,,Pyromaniac,Implosion,?,2007,?) – [download the album](https://archive.org/details/implosion
2015.02.26,The Claudia Quintet,http://musicbrainz.org/artist/5882939b-edb4-411a-bc68-3f0af2e5c55f,Paterna Terra,Royal Toast,Cuneiform Records,2010,USA
2015.02.26,Jamie Saft Trio,http://musicbrainz.org/artist/641a6c2d-2779-40f4-a927-e2b23d819531,Ygal,"Astaroth: Book of Angels, Volume 1",Tzadik,2005,USA
2015.02.26,Jamie Saft Trio,http://musicbrainz.org/artist/641a6c2d-2779-40f4-a927-e2b23d819531,Pursan,"Astaroth: Book of Angels, Volume 1",Tzadik,2005,USA
2015.02.26,Esbjörn Svensson Trio,http://musicbrainz.org/artist/cfa7c6b1-bbb3-4f9a-a636-cbfafb9b4bcf,Goldwrap,Live in Hamburg,ACT,2007,Sweden
2015.02.26,Esbjörn Svensson Trio,http://musicbrainz.org/artist/cfa7c6b1-bbb3-4f9a-a636-cbfafb9b4bcf,Carcrash,Strange Place for Snow,ACT / Superstudio Gul,2002,Sweden
2015.02.26,Eric Dolphy,http://musicbrainz.org/artist/badda5cf-f2c5-4dc2-b3d3-07467bdf0f71,Hat and beard,‘Out to Lunch!’,Blue Note,1999 (rerelease: originally 1964),USA
2015.02.26,The Cracow Klezmer Band,http://musicbrainz.org/artist/c7752820-4cef-4435-abf5-e60de2efe2a2,Jehoel,"Balan: Book of Angels, Volume 5",Tzadik,2006,Poland
2015.02.26,The Cracow Klezmer Band,http://musicbrainz.org/artist/c7752820-4cef-4435-abf5-e60de2efe2a2,Aniel,"Balan: Book of Angels, Volume 5",Tzadik,2006,Poland
2015.02.26,Laurent Garnier,http://musicbrainz.org/artist/ec477866-bfaa-48e0-affd-1c151ef61b7b,The Man With the Red Face,Unreasonable Behaviour,F Communications,2000,France
2015.02.26,Brain Damage,http://musicbrainz.org/artist/9d19a058-3bb8-4858-937b-39dc2b817fc8,Le Jazz de Pépé,Short Cuts,Jarring Effects,2008,France
