dat,artist,musicbrainz_url,title,album,label,year,country
2014.07.03,The Residents,http://musicbrainz.org/artist/8c9b336e-acc8-4e20-9195-6ed0634da9fc,Another Land,Mark of the Mole,Torso,1981,USA
2014.07.03,Oval,http://musicbrainz.org/artist/2fa478b1-dee0-428c-8e18-8b0b6608b2dd,Line Extension,94 Diskont,Mille Plateaux,1995,Germany
2014.07.03,Uri Caine Ensemble,http://musicbrainz.org/artist/25595b01-1869-4d97-bd65-cfe95581e4dc,Variation 14,The Goldberg Variations,Winter & Winter,2000,Great Britain
irregular: needs manual input
2014.07.10,Oval,http://musicbrainz.org/artist/2fa478b1-dee0-428c-8e18-8b0b6608b2dd,Line Extension,94 Diskont,Mille Plateaux,1995,Germany
2014.07.10,Massive Attack,http://musicbrainz.org/artist/10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,Flat of the Blade,Heligoland,Virgin,2010,England
2014.07.10,Amon Tobin,http://musicbrainz.org/artist/630662ea-1c7d-4208-99fd-ba3afec20f0c,Verbal,Verbal Remixes & Collaborations,Ninja Tune,2003,Brazil
2014.07.10,Shlohmo,http://musicbrainz.org/artist/21a0e450-ae4d-473a-add4-744542ab9bf5,Without,Laid Out EP,Friends of Friends,2013,USA
2014.07.10,Toro y Moi,http://musicbrainz.org/artist/3a6d6481-142d-423f-91d4-55bbfff318ed,Rose Quartz,Anything in Return,Carpark Records,2013,USA
2014.07.10,Moderat,http://musicbrainz.org/artist/7754905b-8bf7-48e2-935a-03d566fec464,Bad Kingdom,II,Monkeytown Records,2013,Germany
2014.07.10,Blondes,http://musicbrainz.org/artist/8c5faece-4256-4925-b324-2ca40c906d19,Swisher,Swisher,RVNG Intl.,2013,USA
2014.07.10,Isolée,http://musicbrainz.org/artist/4c99c0b4-5d46-44d2-8c49-ba47a522b016,One Box,Well Spent Youth,Pampa Records,2011,Germany
2014.07.10,Fridge,http://musicbrainz.org/artist/601b575c-9ef8-45a7-81df-3bc48216ca5f,Ark,Eph,Temporary Residence Limited,2002,England
2014.07.10,Groundislava,http://musicbrainz.org/artist/2de5c744-20e7-4a4a-a5a0-f42ac8af229f,Animal,Groundislava,Friends of Friends,2011,USA
2014.07.10,Bibio,http://musicbrainz.org/artist/9f9953f0-68bb-4ce3-aace-2f44c87f0aa3,Saint Christopher,Mind Bokeh,Warp Records,2011,England
2014.07.17,John Zorn,http://musicbrainz.org/artist/7ec4a553-73e5-4c0d-a071-a82b83a309e6,The Ballad of Hank McCain,The Big Gundown: 15th Anniversary Edition,Tzadik,2000,USA
2014.07.17,Air,http://musicbrainz.org/artist/cb67438a-7f50-4f2b-a6f1-2bb2729fd538,Electronic Performers,10 000 Hz Legend,Source / Virgin,2001,France
2014.07.17,Screenatorium,http://musicbrainz.org/artist/e2b55566-05df-4985-82dd-ad3631308c6f,Lips on Slow Motion,Takeoff for Naïve,Jamendo,2010,France) {[download album](http://www.jamendo.com/en/list/a64848/takeoff-for-naive
2014.07.17,Quirk,,Break a Mirrored Leg,Acid Beth EP,Young Turks,2014,UK) {[website](http://qu-i-rke.com
2014.07.17,Black Atlass,http://musicbrainz.org/artist/17a3433f-b1e6-44db-90da-2a905830ff06,Castles,The Black Atlass EP,Self-released,2012,Canada
2014.07.17,Death Grips,http://musicbrainz.org/artist/f9133036-ab3d-4e97-bd11-7a2c98ad148a,Have a Sad Cum,The Powers That B: Niggas on the Moon,Third Worlds,2014,USA
2014.07.17,James Holden,http://musicbrainz.org/artist/7a269795-f85a-4717-8576-3f51265776cc,Rannoch Dawn,The Inheritors,Border Community,2013,UK
2014.07.17,Ben Frost,http://musicbrainz.org/artist/74ce8ef4-7ad6-41ec-92a6-d6c50ecd1637,Secant,A U R O R A,Mute Records / Bedroom Community,2014,Australia
2014.07.24,Jea,http://musicbrainz.org/artist/49a5b367-9a25-43eb-a055-34803a5dce55,Brazilian Flower,The Amazing New Electronic Pop Sounds of Jean-Jacques Perrey,Vanguard,1968,France
2014.07.24,Jea,,Mister James Bond,The Amazing New Electronic Pop Sounds of Jean-Jacques Perrey,Vanguard,1968,France
2014.07.24,Prefuse 73,http://musicbrainz.org/artist/fc61dd75-880b-44ba-9ba9-c7b643d33413,Regalo,Everything She Touched Turned Ampexian,Warp Records,2009,USA
irregular: needs manual input
2014.07.24,Ratatat,http://musicbrainz.org/artist/f467181e-d5e0-4285-b47e-e853dcc89ee7,Wildcat,Classics,"2006, XL Recordings",2006,USA
2014.07.24,Kid Koala,http://musicbrainz.org/artist/6080c60a-6e87-44a6-a1e1-e5ff3a613818,3 Bit Blues,Ninja Tune XX: 20 Years of Beats & Pieces,Ninja Tune,2010,Canada
2014.07.24,Ryan Maguir,,moDernisT,The Ghost in the MP3,self-released,2014,USA) {[full story](http://ryanmaguiremusic.com/theghostinthemp3.html)} {[download](http://rpm7.bandcamp.com/track/modernist
2014.07.24,Portishead,http://musicbrainz.org/artist/8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,Mysterons,Dummy,Go! Beat,1994,UK
2014.07.24,Access to Arasaka,http://musicbrainz.org/artist/339e444b-f0f3-472d-a62a-8f9aa602bae6,Waiting War,Oppidan,Tympanik Audio / Spectraliquid,2009,USA
2014.07.24,Laurent Garnier,http://musicbrainz.org/artist/ec477866-bfaa-48e0-affd-1c151ef61b7b,City Sphere,Unreasonable Behaviour,F Communications,2000,France
2014.07.31,Salem,http://musicbrainz.org/artist/987fc4c9-2c99-4f6c-949b-8da8019769a8,Hound,King Night,IAmSound Records,2010,USA
2014.07.31,White Ring,http://musicbrainz.org/artist/d0efe8c7-dd2b-4556-950a-5e8f4ca9dd55,Roses,Black Earth That Made Me,Disaro,2010,USA
2014.07.31,Tearist,http://musicbrainz.org/artist/f3c91b60-079f-4198-bc3d-ccd02f8e59b9,End Flux,Tearist,Post Present Medium,2010,USA
2014.07.31,oOoOO,http://musicbrainz.org/artist/68648da3-771d-4670-855d-6feb6a3edf93,I Live For The Day,Tri Angle Records Presents: Let Me Shine For You,Tri Angle,2010,USA
2014.07.31,Charli XCX,http://musicbrainz.org/artist/260b6184-8828-48eb-945c-bc4cb6fc34ca,Stay Away,Stay Away,This Is Music,2011,UK
2014.07.31,Trust,http://musicbrainz.org/artist/b8e3d1ae-5983-4af1-b226-aa009b294111,Bulbform,Bulbform,Sacred Bones Records,2011,Canada
2014.07.31,Vår,http://musicbrainz.org/artist/9552398b-27e6-43b6-9da0-a7e582b7aa08,Motionless Duties,No One Dances Quite Like My Brothers,Sacred Bones Records,2013,Denmark
2014.07.31,Радость Мо,,Я умерла миллион раз чтобы ты заметил меня,Волчок,self-released,2013,Russia) {[Bandcamp](http://r4dost.bandcamp.com/
2014.08.07,0,http://musicbrainz.org/artist/7e54d133-2525-4bc0-ae94-65584145a386,35 Summers,Scintilli,Warp Records,2011,England
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
2014.08.07,Tzol,http://musicbrainz.org/artist/7067979e-f4c7-43ea-9d9c-c0807d923ae9,Tonatiuh,Tonatiuh,Ant-Zen,2010,France / Belgium
2014.08.07,4,http://musicbrainz.org/artist/180c238b-4cdd-4f2f-bcc7-bbdd93d68997,Straight Line in the Water,Treillis,Desire Records,2013,Chile
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
2014.08.14,Throbbing Gristle,http://musicbrainz.org/artist/e135d690-9c53-4333-8f11-98aec8c9f434,Walkabout,20 Jazz Funk Greats,Industrial Records,1979,England
2014.08.14,Throbbing Gristl,,United,D.o.A: The Third and Final Report of Throbbing Gristle,Industrial Records,1978,England
2014.08.14,Kraftwerk,http://musicbrainz.org/artist/5700dcd4-c139-4f31-aa3e-6382b9af9032,Spacelab,Die Mensch-Maschine,EMI Electrola / Kling Klang,1978,Germany
2014.08.14,Skinny Puppy,http://musicbrainz.org/artist/5a24bc1a-c093-4a82-84ed-8d7f2da0570d,Two Time Grime,Rabies,Nettwerk,1989 (remastered in 2001),Canada
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
2014.08.21,0,http://musicbrainz.org/artist/93eb7110-0bc9-4d3f-816b-4b52ef982ec8,Nights Intro,Nights Out,Because Music,2008,England
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
2014.08.21,US,http://musicbrainz.org/artist/cbef45a9-7acb-4325-94c9-70081ac8d1b8,Epigram,Dive,Ghostly International,2011,USA
irregular: needs manual input
irregular: needs manual input
irregular: needs manual input
2014.08.21,Jon Hopkins,http://musicbrainz.org/artist/0b0c25f4-f31c-46a5-a4fb-ccbf53d663bd,Open Eye Signal,Immunity,Domino,2013,England
2014.08.21,4,http://musicbrainz.org/artist/8ed2e0b3-aa4c-4e13-bec3-dc7393ed4d6b,And It Rained All Night,The Eraser Rmxs,Warner Music Japan,2008,England and England
irregular: needs manual input
irregular: needs manual input
2014.08.28,Todd Terje,http://musicbrainz.org/artist/a0cded3a-4ca3-4ddb-8e46-ed9037f30aea,Preben Goes to Acapulco,It's Album Time,Olsen Records,2014,Norway
2014.08.28,Kindness,http://musicbrainz.org/artist/71828a18-b630-4f50-8f75-51e71d31b807,World Restart,Otherness,Female Energy Records,not yet released,England
2014.08.28,Ed Congreave,http://musicbrainz.org/artist/25309937-2515-4089-af40-b37ce81c7700,Heal,Heal,DEEP SHIT,2012,England
2014.08.28,Aphex Twin,http://musicbrainz.org/artist/f22942a1-6f70-4f48-866e-238cb2308fbd,Ptolemy,Selected Ambient Works 85–92,Apollo (R & S sublabel),1992,England
2014.08.28,hubbabubbaklubb,http://musicbrainz.org/artist/9c77bbce-b056-4eff-85e7-aa6b945f9fe1,Mopedbart,Mopedbart,Death Strobe Records,2013,Norway
